country,fiscal_year,f1_visas_issued
Iran,2016,2650
Iraq,2016,393
Israel,2016,1041
Japan,2016,16668
South Korea,2016,25355
Nepal,2016,5928
Vietnam,2016,15680
Russia,2016,4776
Ukraine,2016,1057
Canada,2016,365
Mexico,2016,11678
Brazil,2016,10978
Nigeria,2017,6642
Afghanistan,2017,156
China,2017,112817
India,2017,44741
Iran,2017,2201
Iraq,2017,207
Israel,2017,973
Japan,2017,15982
South Korea,2017,22856
Nepal,2017,3579
Vietnam,2017,17032
Russia,2017,4646
Ukraine,2017,973
Canada,2017,304
Mexico,2017,7629
Brazil,2017,12178
Nigeria,2019,4436
Afghanistan,2019,142
China,2019,105775
India,2019,43714
Iran,2019,1674
Iraq,2019,145
Israel,2019,1072
Japan,2019,13712
South Korea,2019,21071
Nepal,2019,1661
Vietnam,2019,16586
Russia,2019,4845
Ukraine,2019,764
Canada,2019,324
Mexico,2019,5838
Brazil,2019,12279
Nigeria,2018,5365
Afghanistan,2018,154
China,2018,98904
India,2018,42694
Iran,2018,1433
Iraq,2018,193
Israel,2018,1014
Japan,2018,14413
South Korea,2018,20959
Nepal,2018,1829
Vietnam,2018,16061
Russia,2018,4350
Ukraine,2018,816
Canada,2018,295
Mexico,2018,7015
Brazil,2018,13288
Nigeria,2020,1233
Afghanistan,2020,48
China,2020,14436
India,2020,15323
Iran,2020,528
Iraq,2020,75
Israel,2020,350
Japan,2020,5357
South Korea,2020,9450
Nepal,2020,401
Vietnam,2020,5716
Russia,2020,1291
Ukraine,2020,430
Canada,2020,64
Mexico,2020,3093
Brazil,2020,3618
Nigeria,2021,6311
Afghanistan,2021,153
China,2021,90310
India,2021,80451
Iran,2021,1967
Iraq,2021,111
Israel,2021,1085
Japan,2021,6383
South Korea,2021,15890
Nepal,2021,3210
Vietnam,2021,6707
Russia,2021,2491
Ukraine,2021,1106
Canada,2021,151
Mexico,2021,7496
Brazil,2021,7644
Nigeria,2022,7547
Afghanistan,2022,385
China,2022,61894
India,2022,115115
Iran,2022,3567
Iraq,2022,182
Israel,2022,1122
Japan,2022,11460
South Korea,2022,18066
Nepal,2022,6175
Vietnam,2022,12330
Russia,2022,3119
Ukraine,2022,1326
Canada,2022,141
Mexico,2022,7766
Brazil,2022,9806
Nigeria,2023,7466
Afghanistan,2023,298
China,2023,85950
India,2023,130730
Iran,2023,3743
Iraq,2023,234
Israel,2023,1244
Japan,2023,9692
South Korea,2023,16105
Nepal,2023,5727
Vietnam,2023,14575
Russia,2023,2988
Ukraine,2023,796
Canada,2023,165
Mexico,2023,7234
Brazil,2023,8310
Nigeria,2024,6175
Afghanistan,2024,344
China,2024,82654
India,2024,86067
Iran,2024,2144
Iraq,2024,188
Israel,2024,1249
Japan,2024,8775
South Korea,2024,14786
Nepal,2024,13184
Vietnam,2024,18454
Russia,2024,2721
Ukraine,2024,810
Canada,2024,242
Mexico,2024,6422
Brazil,2024,7431
