country,panel_year,prior_3yr_avg_growth,any_shock_active,num_shocks_active,cpi_annual_avg,target_next_yr_growth
Afghanistan,2000,-0.38299225225610645,0,0,172.20000000000002,0.20430046351273035
Afghanistan,2001,-0.08934589437168805,1,1,177.0666666666667,0.10318423623523021
Afghanistan,2002,-0.025169184169381964,1,3,179.875,0.06637506894487277
Afghanistan,2003,0.1246199228976111,1,3,183.95833333333337,0.3520772346901033
Afghanistan,2004,0.1738788466234021,1,2,188.88333333333333,0.12136085700426769
Afghanistan,2005,0.17993772021308127,1,2,195.29166666666663,0.42620100658734206
Afghanistan,2006,0.2998796994272377,1,2,201.59166666666667,0.23205891497216236
Afghanistan,2007,0.2598735928545907,1,2,207.34241666666665,0.1857672899595757
Afghanistan,2008,0.2813424038396934,1,2,215.3025,0.045626160826776285
Afghanistan,2009,0.15448412191950478,1,2,214.537,0.00701757265864611
Afghanistan,2010,0.0794703411483327,1,2,218.0555,-0.145254856320582
Afghanistan,2011,-0.03087037427838653,1,2,224.9391666666667,0.19082082513481957
Afghanistan,2012,0.017527847157627896,1,1,229.59391666666667,0.0022246950221109785
Afghanistan,2013,0.015930221278782852,1,1,232.95708333333337,0.04561051125205218
Afghanistan,2014,0.07955201046966091,1,1,236.73616666666663,0.055741983008235074
Afghanistan,2015,0.03452572976079941,1,1,237.017,0.015936592262812965
Afghanistan,2016,0.03909636217436674,1,1,240.00716666666665,-0.06111881505604533
Afghanistan,2017,0.0035199200716675705,1,1,245.11958333333337,-0.12993642170666408
Afghanistan,2018,-0.05837288149996548,1,1,251.10683333333336,0.009523881511255716
Afghanistan,2019,-0.06051045175048456,1,2,255.65741666666668,-0.17570840090223783
Afghanistan,2020,-0.09870698036588206,1,5,258.8111666666667,0.17095779814363965
Afghanistan,2021,0.001591092917552513,1,4,270.96975000000003,0.48477494656604847
Afghanistan,2022,0.16000811460248343,0,0,292.6549166666667,0.028903746182348478
Afghanistan,2023,0.22821216363067887,1,1,304.7015833333333,0.014144507386165017
Brazil,2000,0.028203176186673673,0,0,172.20000000000002,0.014143237211825976
Brazil,2001,0.021173206699249825,0,0,177.0666666666667,-0.06730650361828872
Brazil,2002,-0.008320030073263021,1,1,179.875,-0.07280659269131284
Brazil,2003,-0.04198995303259186,1,1,183.95833333333337,-0.07382198032719245
Brazil,2004,-0.07131169221226467,0,0,188.88333333333333,-0.03297850250297962
Brazil,2005,-0.059869025173828305,0,0,195.29166666666663,0.01655502966545619
Brazil,2006,-0.030081817721571962,0,0,201.59166666666667,0.06149924541276519
Brazil,2007,0.015025257525080585,0,0,207.34241666666665,0.14574536001003935
Brazil,2008,0.07459987836275357,0,0,215.3025,0.0021648729471390737
Brazil,2009,0.06980315945664788,0,0,214.537,-0.0010248819436071699
Brazil,2010,0.04896178367119042,0,0,218.0555,0.02830695571536168
Brazil,2011,0.009815648906297861,0,0,224.9391666666667,0.18538107223875855
Brazil,2012,0.07088771533683769,0,0,229.59391666666667,0.20088815767894808
Brazil,2013,0.13819206187768943,0,0,232.95708333333337,0.5777087898290922
Brazil,2014,0.3213260065822663,0,0,236.73616666666663,-0.20069416165323695
Brazil,2015,0.19263426195160113,0,0,237.017,-0.3919532946093227
Brazil,2016,-0.004979555477822473,0,0,240.00716666666665,0.11061827151205073
Brazil,2017,-0.1606763949168363,0,0,245.11958333333337,0.09387898575772091
